"Series";"Time";"Value"
"Solar Irradiance";"2022-02-05T02:51:20+03:00";0.5555555621782945
"Solar Irradiance";"2022-02-05T02:51:40+03:00";0.5750000149011625
"Solar Irradiance";"2022-02-05T02:52:00+03:00";0.6300000101327903
"Solar Irradiance";"2022-02-05T02:52:20+03:00";0.6900000005960465
"Solar Irradiance";"2022-02-05T02:52:40+03:00";0.7049999982118603
"Solar Irradiance";"2022-02-05T02:53:00+03:00";0.759999996423721
"Solar Irradiance";"2022-02-05T02:53:20+03:00";0.7700000017881395
"Solar Irradiance";"2022-02-05T02:53:40+03:00";0.814999991655349
"Solar Irradiance";"2022-02-05T02:54:00+03:00";0.8449999988079073
"Solar Irradiance";"2022-02-05T02:54:20+03:00";0.8799999922513957
"Solar Irradiance";"2022-02-05T02:54:40+03:00";0.9049999892711629
"Solar Irradiance";"2022-02-05T02:55:00+03:00";0.9249999850988375
"Solar Irradiance";"2022-02-05T02:55:20+03:00";1.0000000000000102
"Solar Irradiance";"2022-02-05T02:55:40+03:00";1.0150000035762872
"Solar Irradiance";"2022-02-05T02:56:00+03:00";1.0550000131130441
"Solar Irradiance";"2022-02-05T02:56:20+03:00";1.0600000143051393
"Solar Irradiance";"2022-02-05T02:56:40+03:00";1.070000016689327
"Solar Irradiance";"2022-02-05T02:57:00+03:00";1.1000000238418701
"Solar Irradiance";"2022-02-05T02:57:20+03:00";1.1400000274181554
"Solar Irradiance";"2022-02-05T02:57:40+03:00";1.1166666944821861
"Solar Irradiance";"2022-02-05T02:58:00+03:00";1.1722222566604614
"Solar Irradiance";"2022-02-05T02:58:20+03:00";1.1947368822599636
"Solar Irradiance";"2022-02-05T02:58:40+03:00";1.2882352857028647
"Solar Irradiance";"2022-02-05T02:59:00+03:00";1.3529411484213292
"Solar Irradiance";"2022-02-05T02:59:20+03:00";1.3699999749660248
"Solar Irradiance";"2022-02-05T02:59:40+03:00";1.4699999928474348
"Solar Irradiance";"2022-02-05T03:00:00+03:00";1.5350000083446602
"Solar Irradiance";"2022-02-05T03:00:20+03:00";1.555000013113045
"Solar Irradiance";"2022-02-05T03:00:40+03:00";1.6150000274181555
"Solar Irradiance";"2022-02-05T03:01:00+03:00";1.6700000345707005
"Solar Irradiance";"2022-02-05T03:01:20+03:00";1.7250000178813902
"Solar Irradiance";"2022-02-05T03:01:40+03:00";1.75499998927117
"Solar Irradiance";"2022-02-05T03:02:00+03:00";1.8149999797344147
"Solar Irradiance";"2022-02-05T03:02:20+03:00";1.8699999749660297
"Solar Irradiance";"2022-02-05T03:02:40+03:00";1.9099999785422994
"Solar Irradiance";"2022-02-05T03:03:00+03:00";1.989999967813485
"Solar Irradiance";"2022-02-05T03:03:20+03:00";2.05999994874002
"Solar Irradiance";"2022-02-05T03:03:40+03:00";2.1249999523162995
"Solar Irradiance";"2022-02-05T03:04:00+03:00";2.14999997615815
"Solar Irradiance";"2022-02-05T03:04:20+03:00";2.195000016689295
"Solar Irradiance";"2022-02-05T03:04:40+03:00";2.2399999976158145
"Solar Irradiance";"2022-02-05T03:05:00+03:00";2.214999997615815
"Solar Irradiance";"2022-02-05T03:05:20+03:00";2.179999983310705
"Solar Irradiance";"2022-02-05T03:05:40+03:00";2.16999998092652
"Solar Irradiance";"2022-02-05T03:06:00+03:00";2.1099999547004846
"Solar Irradiance";"2022-02-05T03:06:20+03:00";2.0749999642372248
"Solar Irradiance";"2022-02-05T03:06:40+03:00";2.0599999368190947
"Solar Irradiance";"2022-02-05T03:07:00+03:00";1.99999997615814
"Solar Irradiance";"2022-02-05T03:07:20+03:00";2.02999997735024
"Solar Irradiance";"2022-02-05T03:07:40+03:00";1.9899999737739549
"Solar Irradiance";"2022-02-05T03:08:00+03:00";1.9849999725818548
"Solar Irradiance";"2022-02-05T03:08:20+03:00";1.9549999833106846
"Solar Irradiance";"2022-02-05T03:08:40+03:00";1.9299999833106796
"Solar Irradiance";"2022-02-05T03:09:00+03:00";1.8899999797343798
"Solar Irradiance";"2022-02-05T03:09:20+03:00";1.8799999713897595
"Solar Irradiance";"2022-02-05T03:09:40+03:00";1.8649999737739347
"Solar Irradiance";"2022-02-05T03:10:00+03:00";1.8749999761581246
"Solar Irradiance";"2022-02-05T03:10:20+03:00";1.9299999833106696
"Solar Irradiance";"2022-02-05T03:10:40+03:00";2.004999977350235
"Solar Irradiance";"2022-02-05T03:11:00+03:00";2.04999995827676
"Solar Irradiance";"2022-02-05T03:11:20+03:00";2.1349999547004845
"Solar Irradiance";"2022-02-05T03:11:40+03:00";2.2199999928474448
"Solar Irradiance";"2022-02-05T03:12:00+03:00";2.26999998092652
"Solar Irradiance";"2022-02-05T03:12:20+03:00";2.294999992847445
"Solar Irradiance";"2022-02-05T03:12:40+03:00";2.3500000238418504
"Solar Irradiance";"2022-02-05T03:13:00+03:00";2.3400000333785904
"Solar Irradiance";"2022-02-05T03:13:20+03:00";2.3600000143051103
"Solar Irradiance";"2022-02-05T03:13:40+03:00";2.4400000572204403
"Solar Irradiance";"2022-02-05T03:14:00+03:00";2.5050000190734805
"Solar Irradiance";"2022-02-05T03:14:20+03:00";2.5499999523162993
"Solar Irradiance";"2022-02-05T03:14:40+03:00";2.65499997138978
"Solar Irradiance";"2022-02-05T03:15:00+03:00";2.8100000262260347
"Solar Irradiance";"2022-02-05T03:15:20+03:00";2.989999997615816
"Solar Irradiance";"2022-02-05T03:15:40+03:00";3.2200000047683703
"Solar Irradiance";"2022-02-05T03:16:00+03:00";3.355000042915331
"Solar Irradiance";"2022-02-05T03:16:20+03:00";3.4600000143051104
"Solar Irradiance";"2022-02-05T03:16:40+03:00";3.599999964237224
"Solar Irradiance";"2022-02-05T03:17:00+03:00";3.72999999523163
"Solar Irradiance";"2022-02-05T03:17:20+03:00";3.8750000238418507
"Solar Irradiance";"2022-02-05T03:17:40+03:00";3.9600000381469607
"Solar Irradiance";"2022-02-05T03:18:00+03:00";3.9949999928474456
"Solar Irradiance";"2022-02-05T03:18:20+03:00";4.069999933242814
"Solar Irradiance";"2022-02-05T03:18:40+03:00";4.16499986648559
"Solar Irradiance";"2022-02-05T03:19:00+03:00";4.254999995231625
"Solar Irradiance";"2022-02-05T03:19:20+03:00";4.42000007629395
"Solar Irradiance";"2022-02-05T03:19:40+03:00";4.599999928474438
"Solar Irradiance";"2022-02-05T03:20:00+03:00";4.895000100135807
"Solar Irradiance";"2022-02-05T03:20:20+03:00";5.204999995231639
"Solar Irradiance";"2022-02-05T03:20:40+03:00";5.569999957084656
"Solar Irradiance";"2022-02-05T03:21:00+03:00";5.97000002861023
"Solar Irradiance";"2022-02-05T03:21:20+03:00";6.5750000476837105
"Solar Irradiance";"2022-02-05T03:21:40+03:00";7.115000033378609
"Solar Irradiance";"2022-02-05T03:22:00+03:00";7.624999976158141
"Solar Irradiance";"2022-02-05T03:22:20+03:00";8.22999994754791
"Solar Irradiance";"2022-02-05T03:22:40+03:00";8.66500005722045
"Solar Irradiance";"2022-02-05T03:23:00+03:00";8.964999866485606
"Solar Irradiance";"2022-02-05T03:23:20+03:00";9.13000011444089
"Solar Irradiance";"2022-02-05T03:23:40+03:00";9.319999933242814
"Solar Irradiance";"2022-02-05T03:24:00+03:00";9.545000028610223
"Solar Irradiance";"2022-02-05T03:24:20+03:00";9.78999991416931
"Solar Irradiance";"2022-02-05T03:24:40+03:00";10.110000038147044
"Solar Irradiance";"2022-02-05T03:25:00+03:00";10.415000009536751
"Solar Irradiance";"2022-02-05T03:25:20+03:00";10.77000002861025
"Solar Irradiance";"2022-02-05T03:25:40+03:00";11.160000133514501
"Solar Irradiance";"2022-02-05T03:26:00+03:00";11.699999952316249
"Solar Irradiance";"2022-02-05T03:26:20+03:00";12.205000019073502
"Solar Irradiance";"2022-02-05T03:26:40+03:00";12.7550000190735
"Solar Irradiance";"2022-02-05T03:27:00+03:00";13.530000019073501
"Solar Irradiance";"2022-02-05T03:27:20+03:00";14.37500004768375
"Solar Irradiance";"2022-02-05T03:27:40+03:00";15.325000047683753
"Solar Irradiance";"2022-02-05T03:28:00+03:00";16.3349999904633
"Solar Irradiance";"2022-02-05T03:28:20+03:00";17.58500022888175
"Solar Irradiance";"2022-02-05T03:28:40+03:00";19.035000038147054
"Solar Irradiance";"2022-02-05T03:29:00+03:00";20.53999986648565
"Solar Irradiance";"2022-02-05T03:29:20+03:00";22.04500007629385
"Solar Irradiance";"2022-02-05T03:29:40+03:00";23.80000009536735
"Solar Irradiance";"2022-02-05T03:30:00+03:00";25.964999961853152
"Solar Irradiance";"2022-02-05T03:30:20+03:00";28.489999961853005
"Solar Irradiance";"2022-02-05T03:30:40+03:00";31.264999866485645
"Solar Irradiance";"2022-02-05T03:31:00+03:00";34.0449996948243
"Solar Irradiance";"2022-02-05T03:31:20+03:00";36.999999809265155
"Solar Irradiance";"2022-02-05T03:31:40+03:00";40.46499996185305
"Solar Irradiance";"2022-02-05T03:32:00+03:00";44.155000114440895
"Solar Irradiance";"2022-02-05T03:32:20+03:00";48.01499996185305
"Solar Irradiance";"2022-02-05T03:32:40+03:00";51.94000015258786
"Solar Irradiance";"2022-02-05T03:33:00+03:00";55.6449998855591
"Solar Irradiance";"2022-02-05T03:33:20+03:00";58.700000190734855
"Solar Irradiance";"2022-02-05T03:33:40+03:00";60.86500015258789
"Solar Irradiance";"2022-02-05T03:34:00+03:00";62.014999961852844
"Solar Irradiance";"2022-02-05T03:34:20+03:00";61.7049997329712
"Solar Irradiance";"2022-02-05T03:34:40+03:00";60.140000343322846
"Solar Irradiance";"2022-02-05T03:35:00+03:00";58.514999771118106
"Solar Irradiance";"2022-02-05T03:35:20+03:00";57.78000011444095
"Solar Irradiance";"2022-02-05T03:35:40+03:00";58.09000015258795
"Solar Irradiance";"2022-02-05T03:36:00+03:00";59.525
"Solar Irradiance";"2022-02-05T03:36:20+03:00";62.029999732971206
"Solar Irradiance";"2022-02-05T03:36:40+03:00";65.04500007629397
"Solar Irradiance";"2022-02-05T03:37:00+03:00";67.28500099182136
